iter	Passed	Remaining
399	41077	10269
400	41172	10164
401	41276	10062
402	41372	9958
403	41468	9853
404	41580	9753
405	41696	9653
406	41812	9554
407	41919	9452
408	42025	9350
409	42160	9254
410	42261	9151
411	42353	9046
412	42470	8946
413	42573	8843
414	42693	8744
415	42808	8644
416	42923	8543
417	43037	8442
418	43137	8339
419	43239	8236
420	43333	8131
421	43431	8027
422	43533	7924
423	43652	7824
424	43755	7721
425	43853	7617
426	43946	7513
427	44037	7408
428	44142	7305
429	44245	7202
430	44389	7106
431	44503	7005
432	44601	6901
433	44705	6798
434	44810	6695
435	44923	6594
436	45040	6493
437	45139	6389
438	45228	6284
439	45317	6179
440	45410	6075
441	45510	5972
442	45603	5867
443	45704	5764
444	45814	5662
445	45908	5558
446	46024	5457
447	46123	5353
448	46231	5251
449	46328	5147
450	46431	5044
451	46545	4942
452	46654	4840
453	46782	4740
454	46882	4636
455	46978	4533
456	47073	4429
457	47170	4325
458	47281	4223
459	47382	4120
460	47494	4017
461	47598	3915
462	47706	3812
463	47815	3709
464	47918	3606
465	48016	3503
466	48105	3399
467	48215	3296
468	48347	3195
469	48441	3092
470	48544	2988
471	48660	2886
472	48780	2784
473	48868	2680
474	48995	2578
475	49097	2475
476	49198	2372
477	49295	2268
478	49406	2166
479	49506	2062
480	49613	1959
481	49718	1856
482	49817	1753
483	49924	1650
484	50037	1547
485	50129	1444
486	50234	1340
487	50328	1237
488	50423	1134
489	50532	1031
490	50658	928
491	50766	825
492	50868	722
493	50970	619
494	51074	515
495	51195	412
496	51307	309
497	51430	206
498	51547	103
499	51653	0
