iter	Passed	Remaining
399	50713	12678
400	50859	12556
401	50979	12427
402	51130	12306
403	51261	12180
404	51371	12050
405	51507	11925
406	51645	11800
407	51759	11671
408	51893	11545
409	52007	11416
410	52134	11289
411	52325	11176
412	52531	11065
413	52662	10939
414	52796	10813
415	52928	10687
416	53060	10561
417	53207	10437
418	53324	10308
419	53447	10180
420	53535	10045
421	53667	9919
422	53819	9796
423	53964	9672
424	54073	9542
425	54214	9417
426	54348	9291
427	54481	9165
428	54595	9035
429	54746	8912
430	54876	8785
431	55004	8658
432	55139	8531
433	55268	8404
434	55410	8279
435	55537	8152
436	55661	8024
437	55773	7894
438	55921	7770
439	56056	7644
440	56176	7515
441	56322	7390
442	56467	7265
443	56569	7134
444	56673	7004
445	56783	6875
446	56907	6747
447	57039	6620
448	57174	6494
449	57296	6366
450	57414	6237
451	57517	6108
452	57639	5980
453	57780	5854
454	57903	5726
455	58020	5598
456	58125	5469
457	58261	5342
458	58403	5216
459	58529	5089
460	58655	4962
461	58769	4833
462	58912	4707
463	59061	4582
464	59202	4456
465	59371	4331
466	59473	4202
467	59584	4074
468	59703	3946
469	59814	3817
470	59930	3690
471	60042	3561
472	60163	3434
473	60273	3306
474	60413	3179
475	60543	3052
476	60677	2925
477	60796	2798
478	60933	2671
479	61051	2543
480	61153	2415
481	61287	2288
482	61415	2161
483	61526	2033
484	61655	1906
485	61758	1779
486	61882	1651
487	62022	1525
488	62156	1398
489	62274	1270
490	62389	1143
491	62516	1016
492	62670	889
493	62784	762
494	62895	635
495	63039	508
496	63179	381
497	63290	254
498	63408	127
499	63550	0
