iter	Logloss
300	0.130531215
301	0.1304273773
302	0.1302864363
303	0.1301408766
304	0.1300105817
305	0.1298380824
306	0.129758846
307	0.1295914242
308	0.1294505864
309	0.1293023706
310	0.1291614011
311	0.1290008545
312	0.1289066215
313	0.1287518476
314	0.1285977972
315	0.1284472723
316	0.128353643
317	0.1282264299
318	0.1281063043
319	0.1279648088
320	0.1278702785
321	0.1277323868
322	0.1276499261
323	0.1275303959
324	0.1273757546
325	0.1272878777
326	0.1271224421
327	0.1270233548
328	0.1268992448
329	0.1267426297
330	0.1266282424
331	0.1264897135
332	0.1264896791
333	0.1264122041
334	0.1262571641
335	0.1261619759
336	0.1260211027
337	0.1258755561
338	0.1257836084
339	0.1256790616
340	0.125579917
341	0.1254920438
342	0.1253847546
343	0.1253188091
344	0.1253184244
345	0.125164952
346	0.1250185635
347	0.1248702413
348	0.1247915338
349	0.1247192946
350	0.1245876446
351	0.1244797685
352	0.1243306638
353	0.1242471673
354	0.1241259379
355	0.123980276
356	0.123791787
357	0.123650852
358	0.1235226356
359	0.1234545283
360	0.1234531079
361	0.1232773856
362	0.123130464
363	0.123030383
364	0.12287653
365	0.1227901263
366	0.1226801648
367	0.1225355956
368	0.122378926
369	0.1222580255
370	0.1221867898
371	0.1220955584
372	0.1219743466
373	0.1218782576
374	0.1217450646
375	0.12152874
376	0.1214254638
377	0.1212885757
378	0.121182652
379	0.1211208853
380	0.1209647225
381	0.1208716053
382	0.1207791821
383	0.1206832351
384	0.1205768274
385	0.120449484
386	0.120353367
387	0.1201932016
388	0.1201054003
389	0.1200337072
390	0.1199566418
391	0.1197755751
392	0.1197755501
393	0.1196583108
394	0.1195818441
395	0.1195093302
396	0.1194259071
397	0.1192593095
398	0.1191572871
399	0.1190391596
400	0.1189355532
401	0.1187499751
402	0.1186663045
403	0.1185618334
404	0.118520939
405	0.1183508485
406	0.1183001583
407	0.1182565102
408	0.1181967647
409	0.1180739614
410	0.1179968022
411	0.1178874406
412	0.1177854507
413	0.1176893617
414	0.1175903871
415	0.1173935852
416	0.1172192437
417	0.1170638163
418	0.1169702281
419	0.1168540344
420	0.116765719
421	0.116667883
422	0.1165373347
423	0.1164433735
424	0.1163066231
425	0.1162183806
426	0.1161424397
427	0.1160272896
428	0.1159123765
429	0.1157912419
430	0.115689431
431	0.1155553955
432	0.1154437073
433	0.1153418452
434	0.1152634684
435	0.1151925481
436	0.1150600384
437	0.1149983953
438	0.1149299852
439	0.1148269985
440	0.1147555038
441	0.1146618184
442	0.1145389643
443	0.1144608918
444	0.1144149839
445	0.1142818432
446	0.1141674217
447	0.11401996
448	0.1139468406
449	0.1138978649
450	0.1138321062
451	0.1137217735
452	0.1135935408
453	0.1134372124
454	0.1133505718
455	0.1132561783
456	0.1131623432
457	0.1130466204
458	0.1129690725
459	0.1128898464
460	0.1126812664
461	0.1126089031
462	0.1125069891
463	0.1124302647
464	0.1123145407
465	0.1121761896
466	0.1121000033
467	0.1119485531
468	0.1118358172
469	0.1117631311
470	0.1116764972
471	0.111606281
472	0.1115177783
473	0.1115142764
474	0.111374411
475	0.1112878498
476	0.1111545701
477	0.1110328069
478	0.1109406281
479	0.1108664043
480	0.1107590255
481	0.110656153
482	0.1105369503
483	0.1104157552
484	0.1103728192
485	0.1103182564
486	0.1102068336
487	0.1101028661
488	0.1100035573
489	0.1099557989
490	0.109847342
491	0.1098031137
492	0.1096624067
493	0.1096048909
494	0.1095424305
495	0.109492739
496	0.1093676224
497	0.1092752114
498	0.1092011395
499	0.1090976792
